name,rank,score,finsh_time
18o3  ,1,19,0:05:48
rui_er  ,2,19,0:15:11
qingczha  ,3,19,0:17:47
kmjp  ,4,19,0:17:47
natsugiri  ,5,19,0:18:28
Yawn_Sean  ,6,19,0:18:56
emthrm  ,7,19,0:19:03
@_deleted_user_b58aed20  ,8,19,0:19:15
kzyKT  ,9,19,0:20:19
ianwong1999  ,10,19,0:20:26
arignote  ,11,19,0:21:12
endlesscheng  ,12,19,0:21:23
firiexp  ,13,19,0:21:49
fanzhh  ,14,19,0:22:10
liouzhou_101  ,15,19,0:22:46
alokaks601  ,16,19,0:22:58
hongrock  ,17,19,0:24:01
aging  ,18,19,0:24:06
dpdpdp  ,19,19,0:24:07
sagnikban  ,20,19,0:24:10
tsreaper  ,21,19,0:24:17
some_idiot  ,22,19,0:25:07
kirtikumarkk21  ,23,19,0:25:33
maooooam  ,24,19,0:26:31
MkaanTheKing  ,25,19,0:26:50
