name,rank,score,finsh_time
qeetcode  ,1,18,0:13:01
raincoat911  ,2,18,0:18:40
arignote  ,3,18,0:20:08
nyu_ldf  ,4,18,0:20:26
ji-gong  ,5,18,0:20:33
OTTFF  ,6,18,0:21:10
Heltion  ,7,18,0:22:30
i_love_xiaoshagua_cpp  ,8,18,0:23:17
tsreaper  ,9,18,0:23:29
0suoicsnocbus  ,10,18,0:23:31
mufti  ,11,18,0:25:33
xuxiaohu  ,12,18,0:27:56
qingczha  ,13,18,0:27:59
Chris_T  ,14,18,0:28:21
sammochen  ,15,18,0:28:41
jinmingli  ,16,18,0:29:09
hxu10  ,17,18,0:29:51
zcgzcgzcg  ,18,18,0:29:53
sun-man-man  ,19,18,0:29:59
Liam66  ,20,18,0:30:45
LayCurse  ,21,18,0:31:07
liouzhou_101  ,22,18,0:31:13
lucifer1006  ,23,18,0:31:15
watashi  ,24,18,0:32:05
JOHNKRAM  ,25,18,0:32:21
