title,author,length
Christian Affirmations for Sleep,By: Good News Meditations,Length: 8 hrs and 1 min
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),By: Philippa Perry,Length: 8 hrs and 52 mins
Friendship with God,By: Neale Donald Walsch,Length: 9 hrs and 19 mins
Forgiving What You Can't Forget,By: Lysa TerKeurst,Length: 8 hrs and 20 mins
Battlefield of the Mind,By: Joyce Meyer,Length: 6 hrs and 25 mins
The Fall of Lucifer,By: Wendy Alec,Length: 11 hrs and 28 mins
Pretty Thing,By: JA Huss,Length: 6 hrs and 5 mins
In His Steps,By: Charles M. Sheldon,Length: 6 hrs and 54 mins
Ramses,By: Christian Jacq,Length: 11 hrs and 8 mins
The Power of Favor,By: Joel Osteen,Length: 6 hrs and 48 mins
Pasha,By: Julian Stockwin,Length: 11 hrs and 27 mins
Kingdom Principles: Preparing for Kingdom Experience and Expansion,By: Myles Myles Munroe,Length: 6 hrs and 6 mins
A Distant Shore,By: Karen Kingsbury,Length: 9 hrs and 28 mins
Captured,By: Erica Stevens,Length: 7 hrs and 23 mins
Rage of Ares,By: Christian Cameron,Length: 18 hrs and 19 mins
The Power of Communion,"By: Beni Johnson, Bill Johnson",Length: 2 hrs and 45 mins
"Portal to Nova Roma: The Rhine, Book 3",By: J.R. Mathews,Length: 25 hrs and 24 mins
The Survival Guide for Empaths,"By: Suzanne Cron Heuertz, Ian Christian Stabile",Length: 3 hrs and 4 mins
Binding the Strongman,By: Frank Hammond,Length: 56 mins
The Space Between,By: Kate Canterbary,Length: 8 hrs and 57 mins
