date,home,score,far
13-08-2022,Sampdoria,0 - 2,Atalanta
21-08-2022,Atalanta,1 - 1,Milan
28-08-2022,Verona,0 - 1,Atalanta
01-09-2022,Atalanta,3 - 1,Torino
05-09-2022,Monza,0 - 2,Atalanta
11-09-2022,Atalanta,1 - 1,Cremonese
18-09-2022,Roma,0 - 1,Atalanta
02-10-2022,Atalanta,1 - 0,Fiorentina
09-10-2022,Udinese,2 - 2,Atalanta
15-10-2022,Atalanta,2 - 1,Sassuolo
23-10-2022,Atalanta,0 - 2,Lazio
30-10-2022,Empoli,0 - 2,Atalanta
05-11-2022,Atalanta,1 - 2,Napoli
09-11-2022,Lecce,2 - 1,Atalanta
13-11-2022,Atalanta,2 - 3,Inter
04-01-2023,Spezia,2 - 2,Atalanta
09-01-2023,Bologna,1 - 2,Atalanta
15-01-2023,Atalanta,8 - 2,Salernitana
22-01-2023,Juventus,3 - 3,Atalanta
28-01-2023,Atalanta,2 - 0,Sampdoria
04-02-2023,Sassuolo,1 - 0,Atalanta
11-02-2023,Lazio,0 - 2,Atalanta
19-02-2023,Atalanta,1 - 2,Lecce
26-02-2023,Milan,2 - 0,Atalanta
04-03-2023,Atalanta,0 - 0,Udinese
11-03-2023,Napoli,2 - 0,Atalanta
17-03-2023,Atalanta,2 - 1,Empoli
01-04-2023,Cremonese,? - ?,Atalanta
14-08-2022,Lazio,2 - 1,Bologna
21-08-2022,Bologna,1 - 1,Verona
27-08-2022,Milan,2 - 0,Bologna
01-09-2022,Bologna,1 - 1,Salernitana
04-09-2022,Spezia,2 - 2,Bologna
11-09-2022,Bologna,2 - 1,Fiorentina
17-09-2022,Bologna,0 - 1,Empoli
02-10-2022,Juventus,3 - 0,Bologna
08-10-2022,Bologna,1 - 1,Sampdoria
16-10-2022,Napoli,3 - 2,Bologna
23-10-2022,Bologna,2 - 0,Lecce
31-10-2022,Monza,1 - 2,Bologna
06-11-2022,Bologna,2 - 1,Torino
09-11-2022,Inter,6 - 1,Bologna
12-11-2022,Bologna,3 - 0,Sassuolo
04-01-2023,Roma,1 - 0,Bologna
09-01-2023,Bologna,1 - 2,Atalanta
15-01-2023,Udinese,1 - 2,Bologna
23-01-2023,Bologna,1 - 1,Cremonese
27-01-2023,Bologna,2 - 0,Spezia
05-02-2023,Fiorentina,1 - 2,Bologna
12-02-2023,Bologna,0 - 1,Monza
18-02-2023,Sampdoria,1 - 2,Bologna
26-02-2023,Bologna,1 - 0,Inter
06-03-2023,Torino,1 - 0,Bologna
11-03-2023,Bologna,0 - 0,Lazio
18-03-2023,Salernitana,2 - 2,Bologna
14-08-2022,Fiorentina,3 - 2,Cremonese
22-08-2022,Roma,1 - 0,Cremonese
27-08-2022,Cremonese,1 - 2,Torino
30-08-2022,Inter,3 - 1,Cremonese
04-09-2022,Cremonese,0 - 0,Sassuolo
11-09-2022,Atalanta,1 - 1,Cremonese
18-09-2022,Cremonese,0 - 4,Lazio
02-10-2022,Lecce,1 - 1,Cremonese
09-10-2022,Cremonese,1 - 4,Napoli
16-10-2022,Spezia,2 - 2,Cremonese
24-10-2022,Cremonese,0 - 1,Sampdoria
30-10-2022,Cremonese,0 - 0,Udinese
05-11-2022,Salernitana,2 - 2,Cremonese
08-11-2022,Cremonese,0 - 0,Milan
11-11-2022,Empoli,2 - 0,Cremonese
04-01-2023,Cremonese,0 - 1,Juventus
09-01-2023,Verona,2 - 0,Cremonese
14-01-2023,Cremonese,2 - 3,Monza
23-01-2023,Bologna,1 - 1,Cremonese
28-01-2023,Cremonese,1 - 2,Inter
04-02-2023,Cremonese,0 - 2,Lecce
12-02-2023,Napoli,3 - 0,Cremonese
20-02-2023,Torino,2 - 2,Cremonese
28-02-2023,Cremonese,2 - 1,Roma
06-03-2023,Sassuolo,3 - 2,Cremonese
12-03-2023,Cremonese,0 - 2,Fiorentina
18-03-2023,Monza,1 - 1,Cremonese
01-04-2023,Cremonese,? - ?,Atalanta
14-08-2022,Spezia,1 - 0,Empoli
21-08-2022,Empoli,0 - 0,Fiorentina
28-08-2022,Lecce,1 - 1,Empoli
31-08-2022,Empoli,1 - 1,Verona
05-09-2022,Salernitana,2 - 2,Empoli
12-09-2022,Empoli,1 - 2,Roma
17-09-2022,Bologna,0 - 1,Empoli
01-10-2022,Empoli,1 - 3,Milan
09-10-2022,Torino,1 - 1,Empoli
15-10-2022,Empoli,1 - 0,Monza
21-10-2022,Juventus,4 - 0,Empoli
30-10-2022,Empoli,0 - 2,Atalanta
05-11-2022,Empoli,1 - 0,Sassuolo
08-11-2022,Napoli,2 - 0,Empoli
11-11-2022,Empoli,2 - 0,Cremonese
04-01-2023,Udinese,1 - 1,Empoli
08-01-2023,Lazio,2 - 2,Empoli
